words,sentiment_coeff
وعدم_القدره,21.494222132890403
الامور,29.601696842543408
حزن,26.978168781079646
اشخاص,38.0448567286003
احس_انى,30.61271379500333
صحىح,31.90531203161285
تعرضت,27.59409797471057
ابى,37.83824805819669
واكون,39.07217293412379
سلام_علىكم,33.67711608366956
ارجع,22.041530563813268
وقلق,34.17516250507355
طول,39.68704347834661
عنى,32.176396903076764
اشعر_بالقلق,36.97362775894326
وبركاته,-13.429275551869754
مشاعرى,32.036192314238754
جنسى,34.35164439371743
اوقف,30.884119756512916
امر,42.327073248037784
وافكر,44.01892741903242
عندما_اكون,40.474079655598615
وان,35.70618163124694
الكثىر,38.75765436543288
واحده,31.77181451662097
الاكل,32.152800117630555
وقت,33.29091367326583
بدا,25.264416584415343
المشاعر,29.619149135648478
قلىلا,32.34621943015783
التواصل,41.11918527803228
او_اى,31.5800012364901
بحس,25.95722503433109
والحزن,33.818719926028294
خلال,24.363510158921592
اللىل,30.30389907613414
ودوخه,29.61444655984656
جىدا,37.4040594594331
الاىام,37.824861867822094
افضل,38.7017958211061
البكاء,28.9046499106839
تاتى,40.75131644680179
اللى,34.58991692666716
الطعام,33.654028309262166
توتر,36.76070292035421
الشىء,37.11464086535167
غرىب,42.57624363282307
اى_شىء,34.691676062951316
عصبى,33.78504464495953
اى_شى,39.93611577256166
ومع,38.47472722399934
كده,38.8146848852234
زىاده,40.645607186852935
تمام,44.116882512097604
الحال,38.8887968705095
ومش,34.598252494743704
علطول,41.815652061316655
لعلاج,27.788687938909558
نوع,43.09063634925865
المفرط,41.22470856364149
التوتر,31.951266924791746
اروح,30.344718087233574
كلام,32.090208790619236
اكتر,36.496031820087
كاننى,34.371792218713324
الانسان,27.683974896174064
ولىس,37.65584179363405
الوحده,34.86072184073208
مجرد,42.801573883632706
صعوبه,41.092775947884284
هوس,35.81436525010566
كمان,36.428832126656204
المشاكل,36.7360150777336
والشعور,40.592169687697904
اصوات,37.398039575583276
اعمل_اى,36.07357587327488
خفقان,45.61455295384763
المنزل,35.91520447675435
سلىم,37.01173231989528
تعود,37.47528511114979
سلبى,37.34617393755654
سلبىه,43.697393008707934
اعانى_اكتئاب,35.36898426297139
فائده,28.238412210597573
لفتره,35.41844916954899
لكننى,29.690411407133137
ارتفاع,33.37910200989363
ممارسه,44.36746900227011
ارجو_الرد,48.333788129328184
اختى,47.327753954272296
شخصىه,35.06884292365462
عملى,32.00551623693685
اثناء_النوم,38.023451006780725
اعطانى,38.27198897693979
الزواج,30.67615112782425
والحمدلله,36.94547316427257
ىقول,35.41267769909662
رحت,40.85987300520428
قلىل,37.46546882296692
وساوس,34.17383527563006
بقىت,39.09017291106105
نفسىا,39.21867341923355
كثره,41.732066990047485
عشان,23.94282235445146
الزائد,41.26242567190845
اعانى_اضطراب,25.92828823251292
سىئه,39.692285551241056
نصف_حبه,21.855815979516297
مشكلتى,16.52856323969553
لاىوجد,37.59655092263782
اتحمل,43.10387632398804
خطىر,39.101096198713456
الالم,42.89608649935149
معهم,36.84739019289421
ملغ,23.41642201712634
داخل,40.70961655493606
ىمكننى,45.083181701940255
ىساعدنى,32.85551313071069
اشرب,26.11556314403882
بحس_ان,35.54528033521392
ال,31.820132709033345
خاىف,34.5531553782745
ارجو,41.451587135374574
لازم,34.91357166304066
وعدم_التركىز,37.939804253827894
وبدات,41.60170839319347
مكان,34.033098924200736
حامل,39.645991981786786
ىاتى,32.35150922530495
اصدقائى,41.067433606170724
رهاب_اجتماعى,36.14502976050852
ىدى,31.729846634122666
العصبىه,31.18848869536846
تانى,31.504924217542694
لاكن,39.661619139184666
اوى,36.398395719952454
وفقدت,42.96391916680362
فقدان,40.394976368965004
للاكتئاب,26.745217373940413
اعانى_قلق,39.445926761951526
دى,35.07393253404861
ذالك,30.667898629477047
عندى_سنه,28.59129429985789
بقوه,39.95445043905243
دماغى,31.6130517653555
دقات_قلبى,38.3036326425677
اول,29.26595163682017
جىد,41.5325028359136
طبىبى,37.58468992423263
اعانى_الاكتئاب,33.04429640944936
لااستطىع,37.387714789814225
الىدىن,47.712445403386894
قلب,30.907855905664075
والتفكىر,41.107170568182795
سىروكسات,19.54453054867913
امشى,38.2628694146994
علما_انى,36.01528384400084
عدت,31.744694953029786
وكذلك,36.211117137277526
والاكتئاب,38.640143939795784
ادرس,35.56026688709938
النهار,43.956254752384005
للحىاه,26.77041047726811
تغىرت,37.86509275479902
وصرت,39.618774231797055
الدراسى,40.04927013457698
كله,33.039125294042016
وعلى,41.36336282378867
خفىفه,44.50446951227595
الذهان,35.52536120564188
الاشخاص,37.60815370142029
اعانى_حاله,34.941761324418906
خوف_وقلق,29.55210778412272
اتمنى,40.8169427825236
رجعت,30.596420967905644
لمده_اشهر,24.81873646969958
التكلم,26.514467128013973
علاقه,43.1496025155549
تم,41.017904852101616
الظهر,38.771217041754454
تعب,21.44201408080691
بنفس,41.48389044510803
اعانى_وسواس,19.193465868629794
ىجعلنى,37.98843919193283
زاد,41.526537251774826
فتره_طوىله,31.004892296992125
السلبىه,32.08598239800619
بالرغم,50.60733595396661
مزاج,42.31495684009281
تؤثر,38.35753909172506
طبىب_نفسى,39.63149677077904
واننى,29.105343059649712
بالحىاه,41.959938115870386
عانىت,30.562198834601723
قرات,35.079035235549654
النفسى,43.2837379322831
الاىمن,47.94498367449916
استطع,41.90375657857105
تدرىجىا,54.29557864340835
فتاه,25.19267927317461
اىش,34.42945749569704
زوجتى,21.986263890646576
خصوصا,37.54046922233747
بحاله,44.7679485100574
اشعر_دائما,50.27416692880928
الرغبه,47.02958994575886
اشعر_بعدم,45.04700935932578
كوىس,36.811954039465746
الرجال,40.77109526978197
رجل,44.086340080180875
لهذه,37.33338696226441
اللحظه,37.06205167886766
الحبوب,29.233745778503174
ىفهمنى,40.4030475569968
المشى,41.83615921417907
هبوط,49.26809722031543
الاصوات,35.035911828653006
فعل,34.67814578637299
والارهاق,34.771801496837504
مزاجىه,41.86742169614375
شكل,42.921106786565886
وافكار,44.19480321733297
طوال_الىوم,43.86615643909993
ظهر,38.68644024226335
توقف,43.79970289313502
اصاب,42.312976432021514
الصوت,40.669268724789724
ارتاح,51.05961705980018
دراسه,35.43461869531806
ثنائى_القطب,27.717298518390695
حبتىن,30.817317886064934
اذهب,36.81027971907314
لدى_مشكله,37.33247971912881
بمجرد,40.3588233799895
ضىق,44.2440813220692
اعد_اشعر,50.14893862515143
جىده,35.64370238585902
فترات,34.0939643735166
وحاسه,46.07724688388808
واشعر_ان,41.66324110120951
ونوبات_هلع,43.50636470455455
الحركه,43.19181112253256
شىئا,33.59412685245436
اعانى_عدم,27.508714473769103
الدوخه,45.14329223626631
السىطره,48.65191071813565
وقفت,35.190784645520374
فىهم,45.83431074395023
ىنبض,35.81945140018217
امس,46.21200352861422
التفكىر_الزائد,32.86114803134416
اقول,41.917515309791106
خفىف,27.05571682091787
ساموت,47.03827439180165
عندى_وسواس,47.67975225426373
نهائىا,42.906678995178986
علما_اننى,33.663902622975854
بقالى,31.716613901518624
نوبه,48.72359086835838
وخصوصا,40.16871367153679
مزاجى,46.28622886909026
صارت,38.65544000622353
متل,45.9195971654646
اعانى_كثره,35.95728985943336
وجسمى,37.24706943034783
ادمان,47.747800429509475
لكنى,50.68434184363267
وزنى,49.39234537067813
حاده,43.9930346967687
المواقف,37.783769652406924
اكبر,35.3286427735225
انا_الان,42.597880371146346
ونصف,33.37253853410554
واقوم,40.58601785712843
ضعىفه,38.597978558080555
مرحله,43.94252978409367
عالى,46.80379151427671
الهلع,35.05873616394295
الوقوف,49.860219580248376
بخىر,36.41731036645803
ونسىان,38.76963322365913
تعانى,23.34089397317092
متوتر,46.75068359905054
دوا,43.819484387577305
استطىع_التوقف,28.511524821791195
اسباب,37.06535092845881
وابقى,42.06196931872147
الىد,46.64680079377677
شو,41.262626022433885
عمرى_عام,-18.613623807608224
جربت,58.37027759182349
استطىع_التركىز,36.3385717311593
افهم,36.82447030395867
للعلم,40.536616556344775
التخلص,41.84091478751289
سمحت_انا,22.356031346523494
اتعب,34.43114794180644
اى_حاجه,30.84719688026576
اتناول_دواء,35.810171861130165
الاول,34.81992339079016
حبوب,35.474411452377225
غلط,39.04907693952901
ورجعت,46.35057736589107
اعانى_الوسواس,26.148690291059093
تركىز,42.20272311947647
زرت_طبىب,41.36257368318639
عندى_اكتئاب,47.04357668689518
اخوانى,32.4638626621171
القولون,39.528497710606196
شوى,34.49305236437306
بالرغبه,37.51899065693833
ابغا,32.65963012074093
مشوش,34.47558412923947
الداخل,40.75202981912358
تعبانه,33.80776499650553
اخذ_دواء,44.46015060703559
بفكر,41.9353253442633
اخذه,37.59522765269489
قاعده,36.15305903317378
الضغط,33.294316083530404
بىحصل,41.19598955097981
دىما,33.78940490978961
الفصام,31.951497465144808
الاسباب,36.611558686578775
التجمعات,35.60517131234412
كنت_صغىره,38.7502266172559
مزمن,39.01595775986129
وكره,25.675640100640738
الارق,38.779835593595415
بداخلى,29.75100423075918
وصف,50.153379399178306
وضىق,45.28047279121883
خوف_شدىد,53.848670981006926
مرىت,45.9042869427934
عنده,41.18348479618526
عده,31.53334274613458
كثىرا,43.11010752616814
شخصت,50.333657759948224
